>> lc_main
Warning: Data clipped when writing file. 
> In audiowrite>clipInputData (line 470)
In audiowrite (line 241)
In rfdlm_embed (line 131)
In lc_main (line 17) 
6166 29 29 99 
6168 29 29 93 
6169 29 29 95 
6172 29 29 99 
6175 29 29 96 
6176 29 29 95 
6177 29 29 102 
6183 29 29 103 
6184 29 29 99 
6186 29 29 108 
6187 29 29 105 
6188 29 29 104 
6189 29 29 94 
6190 29 29 93 
6192 29 29 101 
6193 29 29 106 
6194 29 29 103 
6195 29 29 96 
6196 29 29 95 
6197 29 29 97 
6198 29 29 104 
6200 29 29 100 
6201 29 29 102 
6202 29 29 103 
6204 29 29 102 
6206 29 29 98 
6207 29 29 102 
6208 29 29 99 
6209 29 29 99 
6210 29 29 103 
6211 29 29 98 
6212 29 29 102 
6215 29 29 98 
6217 29 29 100 
6220 29 29 97 
6221 29 29 103 
6223 29 29 99 
6224 29 29 103 
6225 29 29 99 
6226 29 29 106 
6227 29 29 104 
6228 29 29 103 
6229 29 29 101 
6230 29 29 103 
6231 29 29 102 
6233 29 29 105 
6234 29 29 102 
6235 29 29 107 
6236 29 29 105 
6238 29 29 103 
6239 29 29 103 
6241 29 29 103 
6242 29 29 99 
6243 29 29 99 
6246 29 29 102 
6247 29 29 109 
6249 29 29 98 
6250 29 29 102 
6251 29 29 101 
6252 29 29 102 
6254 29 29 111 
6255 29 29 106 
6257 29 29 106 
6258 29 29 105 
6260 29 29 109 
6261 29 29 107 
6262 29 29 102 
6263 29 29 103 
6264 29 29 100 
6265 29 29 105 
6266 29 29 109 
6267 29 29 106 
6269 29 29 104 
6273 29 29 105 
6274 29 29 104 
6277 29 29 108 
6278 29 29 106 
6283 29 29 107 
6285 29 29 102 
6286 29 29 109 
6287 29 29 103 
6291 29 29 109 
6292 29 29 103 
6293 29 29 109 
6297 29 29 101 
6300 29 29 106 
6305 29 29 106 
6307 29 29 108 
6310 29 29 102 
6376 29 29 101 
6381 29 29 102 
6389 29 29 92 
6390 29 29 101 
6394 29 29 99 
6396 29 29 104 
6399 29 29 97 
6402 29 29 103 
6404 29 29 102 
6405 29 29 106 
6406 29 29 101 
6408 29 29 100 
6409 29 29 96 
6410 29 29 101 
6413 29 29 99 
6414 29 29 101 
6416 29 29 97 
6418 29 29 103 
6419 29 29 102 
6421 29 29 95 
6422 29 29 104 
6424 29 29 105 
6425 29 29 100 
6426 29 29 104 
6428 29 29 94 
6429 29 29 96 
6430 29 29 101 
6431 29 29 101 
6433 29 29 103 
6435 29 29 101 
6436 29 29 97 
6437 29 29 100 
6438 29 29 105 
6440 29 29 101 
6441 29 29 98 
6443 29 29 99 
6448 29 29 100 
6449 29 29 97 
6457 29 29 103 
6471 29 29 105 
6600 61 61 98 
7147 69 
7148 69 
7160 68 
7193 69 
7243 68 
7259 69 
7260 68 
7298 68 
7302 68 
7422 27 27 82 
7486 27 27 96 
7488 27 27 90 
7491 27 27 92 
7498 27 27 102 
7511 27 27 90 
7522 27 27 96 
7526 27 27 91 
7527 27 27 94 
7534 27 27 88 
7539 27 27 95 
7554 27 27 92 
7564 27 27 97 
7566 27 27 91 
7573 27 27 94 
7616 27 27 97 
7618 27 27 98 
7620 27 27 95 
7622 27 27 101 
7626 27 27 101 
7631 27 27 95 
7632 27 27 102 
7633 27 27 98 
7635 27 27 93 
7636 27 27 103 
7637 27 27 100 
7638 27 27 102 
7639 27 27 106 
7640 27 27 104 
7641 27 27 102 
7643 27 27 98 
7644 27 27 95 
7645 27 27 101 
7646 27 27 98 
7648 27 27 95 
7649 27 27 105 
7650 27 27 100 
7651 27 27 100 
7652 27 27 105 
7653 27 27 96 
7654 27 27 101 
7655 27 27 108 
7657 27 27 105 
7658 27 27 100 
7660 27 27 100 
7661 27 27 99 
7666 27 27 100 
7673 27 27 102 
7677 27 27 108 
7683 27 27 101 
7684 27 27 103 
7685 27 27 104 
7687 27 27 104 
7689 27 27 108 
7690 27 27 103 
7691 27 27 105 
7692 27 27 102 
7693 27 27 109 
7694 27 27 107 
7697 27 27 104 
7698 27 27 106 
7699 27 27 105 
7700 27 27 107 
7701 27 27 108 
7702 27 27 108 
7703 27 27 107 
7704 27 27 102 
7705 27 27 104 
7706 27 27 103 
7707 27 27 109 
7708 27 27 108 
7709 27 27 108 
7710 27 27 108 
7711 27 27 105 
7713 27 27 108 
7714 27 27 107 
7717 27 27 111 
7718 27 27 110 
7719 27 27 106 
7720 27 27 112 
7721 27 27 109 
7722 27 27 105 
7723 27 27 112 
7725 27 27 109 
7728 27 27 104 
7729 27 27 111 
7731 27 27 107 
7734 27 27 108 
7736 27 27 111 
7741 27 27 106 
7755 27 27 110 
7758 59 59 114 
7765 59 59 113 
7771 27 27 108 
7773 59 59 112 
7778 59 59 108 
7787 59 59 112 
7788 59 59 109 
7794 59 59 114 
7805 59 59 114 
7809 59 59 109 
7814 27 27 113 
7817 59 59 114 
7819 59 59 113 
7825 59 59 113 
7828 27 27 113 
7839 59 59 118 
7840 59 59 114 
7847 59 59 114 
7871 57 57 115 
7872 59 59 121 
7877 59 59 117 
7884 59 59 121 
7888 59 59 122 
7893 59 59 125 
7933 59 59 124 
7967 59 59 120 
8061 59 59 127 
8178 59 59 121 
8253 59 59 126 
8260 59 59 121 
8267 59 59 125 
8272 59 59 127 
8283 59 59 120 
8294 59 59 125 
8307 59 59 127 
8311 59 59 125 
8331 59 59 127 
8337 59 59 127 
8340 59 59 126 
8347 59 59 127 
8402 59 59 127 
8411 58 58 127 
8421 59 59 127 
8430 59 59 125 
8439 58 58 127 
8443 59 59 127 
8445 58 58 127 
8458 58 58 127 
8459 58 58 127 
8460 58 58 127 
8465 58 58 127 
8473 58 58 127 
8479 58 58 127 
8480 58 58 127 
8482 58 58 127 
8483 58 58 127 
8484 58 58 127 
8486 58 58 127 
8487 58 58 127 
8489 58 58 127 
8490 58 58 127 
8491 58 58 127 
8496 58 58 127 
8497 58 58 127 
8498 58 58 127 
8500 58 58 122 
8501 58 58 127 
8502 58 58 127 
8503 58 58 127 
8504 58 58 127 
8506 58 58 125 
8507 58 58 124 
8508 58 58 127 
8509 58 58 126 
8510 58 58 127 
8511 58 58 127 
8512 58 58 127 
8514 58 58 126 
8515 58 58 127 
8516 58 58 127 
8518 58 58 127 
