Fri Apr  1 09:37:05 CST 2022

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017a (9.2.0.538062) 64-bit (glnxa64)
                             February 23, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

audio_files_root =

    './results/test/audio/re_record/20/*.wav'

srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** STEP 141275.0 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
slurmstepd: error: *** JOB 141275 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
933 44 44 65 
998 46 46 64 
1972 54 54 55 
1998 54 54 57 
1999 52 52 50 
2014 54 54 56 
2077 54 54 55 
2082 62 62 59 
2106 62 62 56 
2133 54 54 58 
2149 62 62 62 
2174 62 62 64 
2198 62 62 57 
2204 54 54 61 
2406 59 59 54 
3671 4 4 53 
1150 1 1 49 
7 45 45 57 
20 45 45 57 
69 61 61 59 
656 57 57 53 
701 29 29 49 
754 57 57 56 
799 25 25 50 
826 57 57 55 
898 57 57 59 
1030 49 49 51 
1085 53 53 60 
1133 49 49 57 
1137 49 49 58 
1146 49 49 57 
1177 17 17 52 
1265 16 16 58 
1296 18 18 64 
1301 18 18 61 
1302 18 18 59 
1339 18 18 58 
1341 18 18 59 
2216 29 29 56 
2235 13 13 47 
2243 13 13 52 
2244 29 29 47 
2251 29 29 49 
2254 29 29 49 
2271 29 29 51 
2282 29 29 53 
2283 23 23 53 
2287 13 13 53 
2306 29 29 51 
2534 63 63 53 
2548 63 63 57 
2554 31 31 51 
2560 29 29 52 
2564 29 29 48 
2582 61 61 53 
2586 61 61 48 
2603 61 61 51 
2607 29 29 53 
2611 61 61 53 
2623 29 29 51 
2642 61 61 59 
2662 61 61 53 
2669 61 61 59 
2672 61 61 52 
2678 29 29 53 
2679 61 61 52 
2681 61 61 51 
2708 29 29 54 
2721 63 63 56 
2730 63 63 60 
2753 63 63 59 
2756 63 63 54 
2758 31 31 61 
2759 63 63 57 
2765 63 63 56 
2778 63 63 61 
2780 63 63 58 
2788 63 63 60 
2791 63 63 53 
2796 63 63 58 
2807 31 31 54 
2808 63 63 58 
2812 31 31 55 
2822 63 63 55 
2823 63 63 58 
2825 31 31 52 
2827 63 63 56 
2834 63 63 62 
2838 63 63 57 
2839 63 63 59 
2849 63 63 62 
2851 63 63 61 
2852 55 55 60 
